Nest_ID,Día,Pro_On,Pro_Off,N_On,Month_Nest,Temp_On,Temp_Off,Pro_Nocturnal,Attenct_On
Mimus_polyglottos_SD44_05,2005-04-04,40.6,13.5,15,April,26.807537764100474,25.14,643.0,0.7574626865671642
Mimus_polyglottos_SD44_05,2005-04-05,23.708333333333332,9.48,24,April,26.50250885239554,24.9648,620.0,0.7121401752190237
Mimus_polyglottos_SD44_05,2005-04-06,21.217391304347824,13.791666666666666,23,April,29.23835539441455,27.715416666666666,626.0,0.6169405815423514
Mimus_polyglottos_SD44_05,2005-04-07,29.57894736842105,12.35,19,April,25.530165672583728,23.9725,624.0,0.7051442910915935
Mimus_polyglottos_SD44_05,2005-04-08,20.62962962962963,9.178571428571429,27,April,23.47622953942608,21.89892857142857,626.0,0.70062893081761
Mimus_polyglottos_SD44_05,2005-04-09,18.178571428571427,10.551724137931034,28,April,28.535261569856036,26.74586206896552,624.0,0.6410579345088161
Mimus_polyglottos_SD44_05,2005-04-10,15.5,9.424242424242424,32,April,29.20063486358037,27.541212121212123,627.0,0.6238993710691824
Mimus_polyglottos_SD44_05,2005-04-11,19.115384615384617,11.74074074074074,26,April,29.032002122102387,27.52,631.0,0.6220275344180225
Mimus_polyglottos_SD44_05,2005-04-12,,,0,April,,,629.0,0.0
Mimus_polyglottos_TR_98_05_Control,2005-06-20,35.89473684210526,9.5,19,June,33.26455285351068,30.8945,505.0,0.7948717948717948
Mimus_polyglottos_TR_98_05_Control,2005-06-21,30.217391304347824,8.083333333333334,23,June,33.690148773847746,31.827916666666667,549.0,0.7915717539863326
Mimus_polyglottos_TR_98_05_Control,2005-06-22,33.04761904761905,8.363636363636363,21,June,33.08512365837519,30.986363636363638,564.0,0.7940503432494279
Mimus_polyglottos_TR_98_05_Control,2005-06-23,23.96,10.5,25,June,33.98850239396155,32.19846153846154,555.0,0.7005847953216374
Mimus_polyglottos_TR_98_05_Control,2005-06-24,65.84615384615384,11.153846153846153,13,June,34.23303894816615,32.17357142857143,566.0,0.8551448551448552
Mimus_polyglottos_TR_98_05_Control,2005-06-25,20.70967741935484,7.5,31,June,32.88995948762194,31.116060606060604,208.5,0.5426880811496196
Mimus_polyglottos_TR_98_05_Control,2005-06-26,38.833333333333336,12.894736842105264,18,June,34.237203786545045,31.95,548.0,0.7639344262295082
Mimus_polyglottos_TR_98_05_Control,2005-06-27,28.166666666666668,8.2,24,June,32.81795128054545,31.029600000000002,343.5,0.7761194029850746
Mimus_polyglottos_TR_98_05_Control,2005-06-28,18.548387096774192,9.6875,31,June,32.46936419464598,30.635882352941174,161.5,0.45926517571884984
Mimus_polyglottos_TR_98_05_Control,2005-06-29,,,0,June,,,515.0,0.0
Mimus_polyglottos_TR_SW_rec_center,2005-05-05,15.833333333333334,17.0,12,May,26.824973045730783,22.672307692307694,306.0,0.4909560723514212
Mimus_polyglottos_TR_SW_rec_center,2005-05-06,16.428571428571427,13.379310344827585,28,May,26.61657232100969,23.860689655172415,598.0,0.5542168674698795
Mimus_polyglottos_TR_SW_rec_center,2005-05-07,18.542857142857144,10.424242424242424,35,May,29.601978393905743,26.767714285714288,586.0,0.6192748091603053
Mimus_polyglottos_TR_SW_rec_center,2005-05-08,99.0,,1,May,28.0593,22.64,247.0,0.8181818181818182
Mimus_polyglottos_SD47_05,2005-04-13,27.19047619047619,10.272727272727273,21,April,27.216834517068087,24.91909090909091,643.0,0.7255400254129606
Mimus_polyglottos_SD47_05,2005-04-14,20.846153846153847,9.777777777777779,26,April,27.59596338095211,24.952592592592595,635.0,0.6826196473551638
Mimus_polyglottos_SD47_05,2005-04-15,27.761904761904763,10.454545454545455,21,April,28.42429711514731,25.07681818181818,629.0,0.7278401997503121
Mimus_polyglottos_SD47_05,2005-04-16,20.47826086956522,13.583333333333334,23,April,28.53361845156055,25.561666666666667,635.0,0.5977157360406091
Mimus_polyglottos_SD47_05,2005-04-17,,,0,April,,,530.0,0.0
Mimus_polyglottos_TR_by_softball_field,2005-04-23,15.545454545454545,9.117647058823529,33,April,30.48585475618215,25.068823529411766,555.0,0.6349009900990099
Mimus_polyglottos_TR_by_softball_field,2005-04-24,17.705882352941178,6.514285714285714,34,April,30.805136050806755,24.049714285714288,611.0,0.7350427350427351
Mimus_polyglottos_TR_by_softball_field,2005-04-25,10.4375,6.857142857142857,48,April,31.070094199575465,26.152040816326533,612.0,0.6058041112454655
Mimus_polyglottos_TR_by_softball_field,2005-04-26,16.766666666666666,7.419354838709677,30,April,29.986119384735634,25.628387096774194,601.0,0.689041095890411
Mimus_polyglottos_TR_by_softball_field,2005-04-27,11.30232558139535,8.022727272727273,43,April,31.52526125380408,26.697954545454547,710.0,0.5841346153846154
Mimus_polyglottos_TR_by_softball_field,2005-04-28,10.833333333333334,8.906976744186046,42,April,32.44385210032567,28.11046511627907,597.0,0.5528554070473876
Mimus_polyglottos_TR_by_softball_field,2005-04-29,8.8,8.03921568627451,50,April,33.03864839249634,29.8,599.0,0.5307599517490953
Mimus_polyglottos_TR_by_softball_field,2005-04-30,7.037735849056604,8.092592592592593,53,April,32.60390766728031,29.206909090909093,252.5,0.3453703703703704
Mimus_polyglottos_TR_by_softball_field,2005-05-01,,,0,May,,,635.0,0.0
Mimus_polyglottos_SD10_05,2005-04-02,,,0,April,,,754.0,0.0
Mimus_polyglottos_SD10_05,2005-04-03,23.166666666666668,9.68,24,April,22.595092784612905,20.7,,0.24966322406825325
Mimus_polyglottos_SD10_05,2005-04-04,27.75,8.4,24,April,27.235612296749224,25.2416,645.0,0.7726218097447796
Mimus_polyglottos_SD10_05,2005-04-05,17.46875,8.181818181818182,32,April,29.637298023746936,28.006060606060608,533.0,0.6858895705521473
Mimus_polyglottos_SD10_05,2005-04-06,17.63888888888889,9.243243243243244,36,April,30.234655283041516,28.65216216216216,613.0,0.6806002143622722
Mimus_polyglottos_SD10_05,2005-04-07,26.142857142857142,10.863636363636363,21,April,27.352088491255255,25.13409090909091,473.0,0.7102199223803364
Mimus_polyglottos_SD10_05,2005-04-08,17.433333333333334,10.03225806451613,30,April,24.100052018546755,22.455,309.5,0.5122428991185113
Mimus_polyglottos_SD10_05,2005-04-09,11.4,6.739130434782608,45,April,26.88368422737905,25.04108695652174,615.0,0.6317733990147784
Mimus_polyglottos_SD10_05,2005-04-10,15.029411764705882,8.428571428571429,34,April,30.062959931311813,27.811714285714285,639.0,0.6427672955974842
Mimus_polyglottos_SD10_05,2005-04-11,,,0,April,,,593.0,0.0
Mimus_polyglottos_SD245_05,2005-06-07,26.391304347826086,11.5,23,June,36.33321490238027,34.842083333333335,556.0,0.7183431952662722
Mimus_polyglottos_SD245_05,2005-06-08,18.79310344827586,10.033333333333333,29,June,34.809278245714935,32.82233333333333,575.0,0.6519138755980861
Mimus_polyglottos_SD245_05,2005-06-09,18.6,9.419354838709678,30,June,34.956069453419246,33.11290322580645,587.0,0.6674641148325359
Mimus_polyglottos_SD245_05,2005-06-10,19.35483870967742,9.65625,31,June,35.118268107926745,32.8915625,537.0,0.6666666666666666
Mimus_polyglottos_SD245_05,2005-06-11,25.333333333333332,8.0,24,June,33.973185537677345,31.805999999999997,645.0,0.7628607277289837
Mimus_polyglottos_SD245_05,2005-06-12,21.413793103448278,7.733333333333333,29,June,34.49370487048212,32.71066666666666,573.0,0.7392857142857143
Mimus_polyglottos_SD245_05,2005-06-13,,,0,June,,,609.0,0.0
Mimus_polyglottos_SD310_05_Control,2005-07-04,20.642857142857142,11.0625,14,July,30.681569563895945,28.84,477.5,0.6628440366972477
Mimus_polyglottos_SD310_05_Control,2005-07-05,40.714285714285715,14.333333333333334,14,July,33.08086658820022,31.162,741.0,0.7630522088353414
Mimus_polyglottos_SD310_05_Control,2005-07-06,19.310344827586206,9.433333333333334,29,July,34.49860204562867,32.85333333333333,697.0,0.6796116504854369
Mimus_polyglottos_SD310_05_Control,2005-07-07,35.6875,13.333333333333334,16,July,35.0602459047729,32.40736842105263,197.33333333333334,0.49097162510748066
Mimus_polyglottos_SD310_05_Control,2005-07-08,34.27777777777778,12.947368421052632,18,July,33.21227401327235,30.77,581.0,0.7293144208037825
Mimus_polyglottos_SD310_05_Control,2005-07-09,29.8,16.6875,15,July,31.237249075596917,29.4375,590.0,0.6349431818181818
Mimus_polyglottos_SD310_05_Control,2005-07-10,26.19047619047619,9.545454545454545,21,July,28.90680470715177,27.30454545454546,779.0,0.7372654155495979
