Nest_ID,Día,Month_Nest,Pro_On,Pro_Off,Pro_Nocturnal,N_On,Temp_On,Temp_Off,Ambient_On,Ambient_Off,Ambient_Daily,Rainfall_sum,RH_avg,Soil_avg,Temp60_avg,Temp2m_avg,Temp10m_avg,Dew_avg,First_Off_Time,Last_Off_End,Nocturnal_Start,First_Off_Time_Hour,Last_Off_End_Hour,Nocturnal_Start_Hour,Attenct_On
M_Polyglottos_ALS101_06,2006-06-30,June,,,182.98333333333332,0.0,,,,,25.773134851138355,0.0,86.08342105263158,27.808157894736866,20.081315789473717,20.41184210526318,22.356578947368437,17.760526315789495,,,2006-06-30 20:57:00,,,20.95,0.0
M_Polyglottos_ALS101_06,2006-07-01,July,23.076923076923077,9.148148148148149,296.4916666666667,26.0,35.26962241874823,33.27814814814814,30.05947081283636,29.933319262134617,29.83748483719882,0.0,63.69828906046106,28.05231981296218,28.236415658982185,27.328694236624646,27.677533253588535,18.353760809047436,2006-07-01 06:27:00,2006-07-01 20:34:00,2006-07-01 20:34:00,6.45,20.566666666666666,20.566666666666666,0.41667148925334785
M_Polyglottos_ALS101_06,2006-07-02,July,28.36842105263158,10.8,342.4916666666667,19.0,34.511425483872856,32.0055,28.049695991435467,27.839984415445663,27.788759152025655,0.0,78.29227483932777,27.370283801045886,27.102448904235384,26.109540018362566,26.264253303261366,21.512359796016153,2006-07-02 06:36:00,2006-07-02 19:11:00,2006-07-02 19:11:00,6.6,19.183333333333334,19.183333333333334,0.3743098878459241
M_Polyglottos_ALS101_06,2006-07-03,July,27.227272727272727,10.73913043478261,296.9916666666667,22.0,35.337366074939844,32.90782608695652,30.650476989283195,30.414597882604895,30.2904388352336,0.0,64.89974900959753,28.6901613018513,29.862186735357685,28.777607893762173,28.955323184911965,20.3710936194761,2006-07-03 06:46:00,2006-07-03 20:52:00,2006-07-03 20:52:00,6.766666666666667,20.866666666666667,20.866666666666667,0.4159770367712589
M_Polyglottos_ALS101_06,2006-07-04,July,26.227272727272727,11.347826086956522,300.9916666666667,22.0,35.566727424980485,33.14652173913044,30.066558764102982,29.719868716587246,29.714747379885644,0.0,65.12245948615703,28.677250270850994,28.493267896648753,27.48151737998345,27.710443159988728,19.672063645426515,2006-07-04 06:28:00,2006-07-04 20:26:00,2006-07-04 20:26:00,6.466666666666667,20.433333333333334,20.433333333333334,0.4006990821653028
M_Polyglottos_ALS101_06,2006-07-05,July,42.333333333333336,14.0,290.4916666666667,15.0,35.029160130810816,32.015625,28.7031843789616,28.406571198062704,28.40555737442011,0.0,70.51670089606196,28.3618523244886,27.6835922383396,26.61377263541171,26.875844916160613,20.34430174071208,2006-07-05 06:32:00,2006-07-05 20:51:00,2006-07-05 20:51:00,6.533333333333333,20.85,20.85,0.4409773261264598
M_Polyglottos_ALS101_06,2006-07-06,July,23.5,13.083333333333334,218.99666666666667,8.0,34.55315170480131,29.930833333333336,24.70246366655409,24.69247549550123,24.922442421372857,0.0598425196850392,80.71995967611336,28.921213225371147,24.96938369770583,24.365668124156567,24.845869473684232,21.28540933873147,2006-07-06 06:22:00,2006-07-06 20:32:00,2006-07-06 16:36:00,6.366666666666666,20.533333333333335,16.6,0.13055706663271566
M_Polyglottos_ALS101_06,2006-07-07,July,23.76,9.076923076923077,304.9916666666667,25.0,33.945753461866786,31.02384615384615,24.060108145783094,24.021342283206987,23.995543294336795,0.1590551181102356,88.20164987157855,27.427119105494413,24.15756234438979,23.44156366400386,23.742030807383564,21.32042794435203,2006-07-07 06:21:00,2006-07-07 20:11:00,2006-07-07 20:11:00,6.35,20.183333333333334,20.183333333333334,0.41250477436081434
M_Polyglottos_ALS101_06,2006-07-08,July,,,382.0,0.0,,,,,23.07122549019608,0.0,93.33902439024392,26.810487804878072,20.33731707317076,20.258536585365874,21.110243902439052,19.141219512195146,,,,,,,0.0
M_Polyglottos_GL112_05_Control,2005-06-21,June,19.5,10.387096774193548,115.99166666666666,30.0,31.531369311845765,29.224193548387092,28.46704960200882,28.33618577077183,28.267784849586224,0.0,72.40849647266316,27.950956790123477,26.161600529100554,25.252989417989436,25.3606790123457,19.540044091710783,2005-06-21 06:01:00,2005-06-21 21:08:00,2005-06-21 21:08:00,6.016666666666667,21.133333333333333,21.133333333333333,0.5136159440436646
M_Polyglottos_GL112_05_Control,2005-06-22,June,17.066666666666666,7.838709677419355,342.4916666666667,30.0,33.1733625168242,31.042903225806448,29.673051766327752,29.540755760368672,29.458043468440167,0.0,69.00511042097999,27.925318610536024,28.210507821486107,26.90120121156355,26.941026570048322,20.233289241622593,2005-06-22 06:08:00,2005-06-22 18:43:00,2005-06-22 18:43:00,6.133333333333334,18.716666666666665,18.716666666666665,0.3555596708295235
M_Polyglottos_GL112_05_Control,2005-06-23,June,16.02777777777778,8.378378378378379,276.4916666666667,36.0,34.624950168221375,32.68135135135135,31.55241148801816,31.357755547755545,31.310678423144193,0.0,59.4066038647343,28.313232077294707,28.77027990338166,27.767731980676345,27.91533342995171,18.26226888888892,2005-06-23 06:08:00,2005-06-23 20:55:00,2005-06-23 20:55:00,6.133333333333334,20.916666666666668,20.916666666666668,0.4006990821653028
