Nest_ID,Día,Month_Nest,Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 14:35:00,2006-07-09 14:45:00,10.0,33.44,31.579090909090908
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 14:45:00,2006-07-09 15:00:00,15.0,35.013125,30.96375
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 15:00:00,2006-07-09 15:10:00,10.0,31.89,30.715454545454545
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 15:10:00,2006-07-09 15:24:00,14.0,34.91333333333333,31.42333333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 15:24:00,2006-07-09 15:32:00,8.0,33.25,31.702222222222225
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 15:32:00,2006-07-09 15:45:00,13.0,35.40571428571428,31.157857142857136
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 15:45:00,2006-07-09 15:52:00,7.0,34.43,32.155
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 15:52:00,2006-07-09 16:03:00,11.0,35.884166666666665,32.2125
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 16:03:00,2006-07-09 16:11:00,8.0,31.7,30.79222222222222
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 16:11:00,2006-07-09 16:22:00,11.0,34.439166666666665,30.876666666666665
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 16:22:00,2006-07-09 16:31:00,9.0,31.51,30.410000000000004
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 16:31:00,2006-07-09 16:48:00,17.0,34.462777777777774,30.897777777777776
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 16:48:00,2006-07-09 16:59:00,11.0,32.47,31.2725
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 16:59:00,2006-07-09 17:10:00,11.0,35.285,31.019166666666667
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 17:10:00,2006-07-09 17:15:00,5.0,32.08,30.401666666666667
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 17:15:00,2006-07-09 17:32:00,17.0,34.26333333333333,30.48666666666667
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 17:32:00,2006-07-09 17:40:00,8.0,32.08,31.10888888888889
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 17:40:00,2006-07-09 17:54:00,14.0,35.246,30.663333333333338
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 17:54:00,2006-07-09 18:01:00,7.0,31.7,29.69125
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 18:01:00,2006-07-09 18:11:00,10.0,34.468181818181826,30.286363636363635
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 18:11:00,2006-07-09 18:22:00,11.0,31.32,30.62333333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 18:22:00,2006-07-09 18:39:00,17.0,34.99666666666666,30.44388888888889
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 18:39:00,2006-07-09 18:48:00,9.0,31.32,29.848000000000003
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 18:48:00,2006-07-09 19:04:00,16.0,34.10058823529411,29.48176470588235
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 19:04:00,2006-07-09 19:19:00,15.0,30.18,29.588125
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 19:19:00,2006-07-09 20:19:00,60.0,34.11475409836066,28.596885245901635
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 20:19:00,2006-07-09 20:30:00,11.0,28.7,27.465000000000003
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 20:30:00,2006-07-09 20:44:00,14.0,33.10066666666668,27.18
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 20:44:00,2006-07-09 20:53:00,9.0,28.7,26.879999999999995
Mimus_polyglottos_ALS107_06,2006-07-09,July,Nocturnal,2006-07-09 20:53:00,2006-07-10 07:09:00,616.0,30.312528363047004,23.56513776337115
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 07:09:00,2006-07-10 07:17:00,8.0,25.27,21.87
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 07:17:00,2006-07-10 07:49:00,32.0,30.63272727272728,22.5169696969697
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 07:49:00,2006-07-10 07:58:00,9.0,26.16,23.384
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 07:58:00,2006-07-10 08:19:00,21.0,30.85909090909092,23.833181818181814
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 08:19:00,2006-07-10 08:25:00,6.0,28.88,24.86428571428572
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 08:25:00,2006-07-10 08:42:00,17.0,33.60166666666666,26.73
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 08:42:00,2006-07-10 08:53:00,11.0,30.37,27.705
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 08:53:00,2006-07-10 09:07:00,14.0,34.175333333333334,28.122
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 09:07:00,2006-07-10 09:31:00,24.0,29.81,28.8012
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 09:31:00,2006-07-10 10:11:00,40.0,33.38121951219512,30.35585365853659
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 10:11:00,2006-07-10 10:17:00,6.0,35.44,31.048571428571428
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 10:17:00,2006-07-10 10:27:00,10.0,36.31818181818182,31.043636363636367
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 10:27:00,2006-07-10 10:36:00,9.0,34.83,31.130000000000003
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 10:36:00,2006-07-10 10:50:00,14.0,36.11000000000001,31.497333333333327
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 10:50:00,2006-07-10 10:57:00,7.0,33.84,31.24875
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 10:57:00,2006-07-10 12:29:00,92.0,36.45451612903226,32.41677419354839
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 12:29:00,2006-07-10 12:37:00,8.0,33.25,31.57333333333333
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 12:37:00,2006-07-10 14:05:00,88.0,36.1638202247191,32.75191011235955
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 14:05:00,2006-07-10 14:15:00,10.0,33.05,32.03181818181818
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 14:15:00,2006-07-10 14:23:00,8.0,35.43333333333333,32.66444444444444
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 14:23:00,2006-07-10 14:26:00,3.0,35.03,33.099999999999994
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 14:26:00,2006-07-10 15:18:00,52.0,36.0422641509434,32.88169811320754
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 15:18:00,2006-07-10 15:26:00,8.0,34.04,32.68555555555555
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 15:26:00,2006-07-10 15:31:00,5.0,35.82666666666666,32.98833333333334
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 15:31:00,2006-07-10 15:36:00,5.0,35.03,33.25
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 15:36:00,2006-07-10 15:40:00,4.0,35.848,33.366
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 15:40:00,2006-07-10 15:46:00,6.0,34.43,32.857142857142854
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 15:46:00,2006-07-10 15:59:00,13.0,35.46071428571429,33.373571428571424
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 15:59:00,2006-07-10 16:09:00,10.0,33.84,32.85909090909092
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 16:09:00,2006-07-10 16:18:00,9.0,35.244,33.112
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 16:18:00,2006-07-10 16:27:00,9.0,34.83,33.287
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 16:27:00,2006-07-10 16:35:00,8.0,36.30333333333333,32.57777777777777
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 16:35:00,2006-07-10 16:41:00,6.0,33.84,31.618571428571425
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 16:41:00,2006-07-10 16:55:00,14.0,35.19933333333333,32.782000000000004
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 16:55:00,2006-07-10 17:06:00,11.0,34.63,33.1025
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 17:06:00,2006-07-10 17:18:00,12.0,36.32692307692307,32.887692307692305
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 17:18:00,2006-07-10 17:26:00,8.0,34.04,32.70666666666667
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 17:26:00,2006-07-10 17:36:00,10.0,35.81636363636364,33.35363636363636
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 17:36:00,2006-07-10 17:48:00,12.0,33.64,32.79692307692307
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 17:48:00,2006-07-10 17:54:00,6.0,35.01428571428571,32.46714285714285
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 17:54:00,2006-07-10 17:59:00,5.0,34.04,31.7
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 17:59:00,2006-07-10 18:13:00,14.0,35.837333333333326,31.879999999999995
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 18:13:00,2006-07-10 18:22:00,9.0,33.25,32.352999999999994
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 18:22:00,2006-07-10 18:30:00,8.0,34.99555555555556,32.038888888888884
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 18:30:00,2006-07-10 18:47:00,17.0,32.28,31.85833333333333
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 18:47:00,2006-07-10 19:01:00,14.0,36.18933333333334,31.954
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 19:01:00,2006-07-10 19:12:00,11.0,32.28,31.731666666666666
Mimus_polyglottos_ALS107_06,2006-07-10,July,On,2006-07-10 19:12:00,2006-07-10 19:54:00,42.0,34.12511627906977,30.68093023255814
Mimus_polyglottos_ALS107_06,2006-07-10,July,Off,2006-07-10 19:54:00,2006-07-10 20:00:00,6.0,30.75,29.81
Mimus_polyglottos_ALS107_06,2006-07-10,July,Nocturnal,2006-07-10 20:00:00,2006-07-11 06:42:00,642.0,28.166780715396577,25.29480559875584
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 06:42:00,2006-07-11 06:45:00,3.0,28.7,23.51
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 06:45:00,2006-07-11 06:55:00,10.0,31.1,23.55636363636364
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 06:55:00,2006-07-11 07:00:00,5.0,27.06,23.680000000000003
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 07:00:00,2006-07-11 07:19:00,19.0,30.740500000000008,23.847999999999995
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 07:19:00,2006-07-11 07:22:00,3.0,28.51,24.03
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 07:22:00,2006-07-11 07:30:00,8.0,30.293333333333333,24.17
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 07:30:00,2006-07-11 07:35:00,5.0,27.6,24.210000000000004
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 07:35:00,2006-07-11 07:49:00,14.0,31.718000000000004,24.30133333333333
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 07:49:00,2006-07-11 07:54:00,5.0,28.15,24.47
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 07:54:00,2006-07-11 08:17:00,23.0,32.02458333333333,24.91375
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 08:17:00,2006-07-11 08:24:00,7.0,28.51,25.9125
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 08:24:00,2006-07-11 08:50:00,26.0,33.27074074074074,28.161851851851857
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 08:50:00,2006-07-11 08:58:00,8.0,29.07,28.61444444444444
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 08:58:00,2006-07-11 09:08:00,10.0,32.86727272727273,28.965454545454545
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 09:08:00,2006-07-11 09:13:00,5.0,31.51,29.528333333333336
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 09:13:00,2006-07-11 09:30:00,17.0,32.48111111111111,28.90333333333333
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 09:30:00,2006-07-11 09:35:00,5.0,31.51,29.406666666666663
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 09:35:00,2006-07-11 09:50:00,15.0,34.061875,29.5425
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 09:50:00,2006-07-11 09:59:00,9.0,31.7,30.035000000000004
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 09:59:00,2006-07-11 10:09:00,10.0,34.74,30.25090909090909
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 10:09:00,2006-07-11 10:15:00,6.0,32.86,30.58714285714285
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 10:15:00,2006-07-11 10:25:00,10.0,35.160000000000004,30.75
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 10:25:00,2006-07-11 10:37:00,12.0,31.51,30.33
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 10:37:00,2006-07-11 10:47:00,10.0,34.26636363636364,30.51
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 10:47:00,2006-07-11 10:53:00,6.0,33.84,31.428571428571427
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 10:53:00,2006-07-11 11:02:00,9.0,35.94,31.798
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 11:02:00,2006-07-11 11:11:00,9.0,34.63,31.986
