Month,Nest,Inner material,Outter material,Total Weigth
March,GL(McArty A SW),42.1,0,
April,ALS14,22.6,33.7,
March,,43.7,78.9,
April,GL45,24.6,23.3,
March,GL2,35.1,36.9,
April,GL49,23.2,20.2,
April,GL20,18.7,69.4,
April,GL33,18.3,42.3,
March,GL5,30,46.1,
June,GL10,13.5,92.5,
May,ALS(ParkingII),20.7,57.3,
May,ALS54,14.2,37.7,
June,JU36,19.4,39,
May,x,20.1,55.3,
June,GL(N Dauer Hall),12.7,72.4,
June,GL87,15.4,82.4,
April,ALS22,23.5,60.2,
May,MP(Gator Dinning),14.4,61.1,
June,JU50,15,73.3,
July,JU58,10.6,37.5,
June,ALS98,14.4,34,
June,GL104,13.4,45.9,
July,JU57,19,59.9,
July,MH25,16.6,83,
June,JU30,23.3,77.2,
June,JU29,25,53,
June,JU46,11.3,73.6,
June,MH18,11.1,56.7,
April,ALS19,26,38,
June,JU38,13.6,51.5,
May,JU19,15.1,109.7,
April,ALS18,16,47.6,
May,ALS48,12.6,39.5,
April,GL(N Gerson),18.5,11,
April,JU10,36.6,68,
April,GL57,24.1,26.1,
March,GL (IFAS Bldg),31.5,10,
April,GL(N Reitz),39.2,39.4,
March,Jill,19,18.2,
April,JU16,21,20.5,
May,GL(NW Dinnning Brawer),16.5,30.5,
May,GL56,25.6,120,
April,GL(NE brawer Doorms),28.3,27.8,
June,GL(W Stadium),14,43.1,
May,GL64,12.2,45.1,
April,ALS9,46.8,13.4,
March,GL (W Science),25.5,41,
June,GL(Oconnel parking),21.4,72.8,
May,GL(NE 13st Doorm),16.2,79.1,
May,GL50,11.4,31.8,
May,MH1,13.7,20.2,
May,JU28,11.8,48,
May,ALS55,22,36.7,
June,ALS97,16.6,76.3,
April,ALS6,20.3,24.2,
March,GL(W Human health),21.1,32.3,
June,GL101,19.9,36.8,
April,ALS5,20,72,
June,MP8,18.7,46.2,
May,JU18,17.4,48.9,
May,GL65,25.6,103.6,
April,ALS21,16.8,30,
April,JU17,15.5,40.2,
June,JU37,10.5,44.8,
May,GL(NW West Library),15,61.6,
June,JU42,12.3,63,
June,MH15,14.3,66.8,
July,MH32,10,70.7,
June,ALS76,17.6,43.6,
May,GL(W RHINES),10.1,177.8,
June,ALS38,12.5,80.5,
July,X,11.2,34.8,
July,ALS(Parking lot Reitz),9.1,29.4,
June,MH5,18.6,67.8,
July,ALS111,12.4,68.4,
June,GL(Rhines Hall),14.8,24.6,
July,ALS(EUPD),13.2,76.8,
July,MH30,20.7,87,
June,ALS68,13.7,80.6,
June,ALS89,21.7,24.8,
June,GL(Brawer Hall),16.8,61.9,
June,JU49,12.2,52.3,
June,ALS83,9,24.9,
April,ALS23,39.3,114.6,
June,ALS82,12,68.1,
July,ALS87,7.7,48.9,
July,ALS107,6,42,
May,ALS45,25,34.1,
June,ALS(Betty Towers),29.5,41.9,
May,JU20,10,65.8,
July,JU40,16.9,17.9,
May,ALS63,21,17,
June,JU33,26.9,35,
June,GL(NW Library),13.7,31.6,
May,JU23,10.6,61.3,
May,JU11,12.8,75,
April,GL(SW Auditorium),16.6,34.3,
April,JU(Elmor Hall),7.9,64.4,
April,GL37,28,0,
April,GL44,21.5,103.9,
May,ALS29,36.7,28.6,
April,GL (Mechanical Aerospace),25.6,0,
May,Jill Picadilly,17.4,117.2,
April,x,20,60,
