"Plot Title: MH19_07_C2"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 605331)","H08 Temp., °C (LGR S/N: 605331)"
1,05/12/07 08:30:00 PM,28.51,27.96
2,05/12/07 08:31:00 PM,28.51,27.78
3,05/12/07 08:32:00 PM,28.51,27.78
4,05/12/07 08:33:00 PM,28.33,27.78
5,05/12/07 08:34:00 PM,28.33,27.78
6,05/12/07 08:35:00 PM,28.33,27.60
7,05/12/07 08:36:00 PM,28.33,27.60
8,05/12/07 08:37:00 PM,28.33,27.60
9,05/12/07 08:38:00 PM,28.15,27.60
10,05/12/07 08:39:00 PM,28.15,27.60
11,05/12/07 08:40:00 PM,28.15,27.60
12,05/12/07 08:41:00 PM,28.15,27.42
13,05/12/07 08:42:00 PM,28.15,27.42
14,05/12/07 08:43:00 PM,27.96,27.42
15,05/12/07 08:44:00 PM,27.96,27.24
16,05/12/07 08:45:00 PM,27.96,27.24
17,05/12/07 08:46:00 PM,27.96,27.24
18,05/12/07 08:47:00 PM,27.96,27.24
19,05/12/07 08:48:00 PM,27.96,27.24
20,05/12/07 08:49:00 PM,27.78,27.24
21,05/12/07 08:50:00 PM,27.78,27.06
22,05/12/07 08:51:00 PM,27.78,27.06
23,05/12/07 08:52:00 PM,27.78,27.06
24,05/12/07 08:53:00 PM,27.60,26.88
25,05/12/07 08:54:00 PM,27.60,26.88
26,05/12/07 08:55:00 PM,27.60,26.88
27,05/12/07 08:56:00 PM,27.60,26.88
28,05/12/07 08:57:00 PM,27.60,26.88
29,05/12/07 08:58:00 PM,27.42,26.70
30,05/12/07 08:59:00 PM,27.42,26.70
31,05/12/07 09:00:00 PM,27.42,26.70
32,05/12/07 09:01:00 PM,27.42,26.70
33,05/12/07 09:02:00 PM,27.42,26.52
34,05/12/07 09:03:00 PM,27.24,26.52
35,05/12/07 09:04:00 PM,27.24,26.52
36,05/12/07 09:05:00 PM,27.24,26.70
37,05/12/07 09:06:00 PM,27.24,26.70
38,05/12/07 09:07:00 PM,27.24,26.70
39,05/12/07 09:08:00 PM,27.24,26.52
40,05/12/07 09:09:00 PM,27.24,26.52
41,05/12/07 09:10:00 PM,27.24,26.52
42,05/12/07 09:11:00 PM,27.24,26.52
43,05/12/07 09:12:00 PM,27.24,26.52
44,05/12/07 09:13:00 PM,27.24,26.52
45,05/12/07 09:14:00 PM,27.24,26.52
46,05/12/07 09:15:00 PM,27.06,26.52
47,05/12/07 09:16:00 PM,27.06,26.52
48,05/12/07 09:17:00 PM,27.06,26.52
49,05/12/07 09:18:00 PM,27.06,26.52
50,05/12/07 09:19:00 PM,27.06,26.52
51,05/12/07 09:20:00 PM,27.06,26.34
52,05/12/07 09:21:00 PM,27.06,26.34
53,05/12/07 09:22:00 PM,27.06,26.52
54,05/12/07 09:23:00 PM,27.06,26.52
55,05/12/07 09:24:00 PM,27.06,26.52
56,05/12/07 09:25:00 PM,26.88,26.52
57,05/12/07 09:26:00 PM,26.88,26.34
58,05/12/07 09:27:00 PM,26.88,26.34
59,05/12/07 09:28:00 PM,26.88,26.16
60,05/12/07 09:29:00 PM,26.88,26.16
61,05/12/07 09:30:00 PM,26.70,26.16
62,05/12/07 09:31:00 PM,26.70,25.98
63,05/12/07 09:32:00 PM,26.70,25.98
64,05/12/07 09:33:00 PM,26.70,25.98
65,05/12/07 09:34:00 PM,26.52,25.98
66,05/12/07 09:35:00 PM,26.52,25.98
67,05/12/07 09:36:00 PM,26.52,25.98
68,05/12/07 09:37:00 PM,26.52,25.98
69,05/12/07 09:38:00 PM,26.52,25.98
70,05/12/07 09:39:00 PM,26.52,25.98
71,05/12/07 09:40:00 PM,26.52,25.98
72,05/12/07 09:41:00 PM,26.52,25.98
73,05/12/07 09:42:00 PM,26.52,26.16
74,05/12/07 09:43:00 PM,26.52,26.16
75,05/12/07 09:44:00 PM,26.52,25.98
76,05/12/07 09:45:00 PM,26.52,25.98
77,05/12/07 09:46:00 PM,26.52,26.16
78,05/12/07 09:47:00 PM,26.52,26.16
79,05/12/07 09:48:00 PM,26.52,26.16
80,05/12/07 09:49:00 PM,26.52,26.16
81,05/12/07 09:50:00 PM,26.52,26.16
82,05/12/07 09:51:00 PM,26.52,26.16
83,05/12/07 09:52:00 PM,26.52,26.34
84,05/12/07 09:53:00 PM,26.52,26.16
85,05/12/07 09:54:00 PM,26.52,26.16
86,05/12/07 09:55:00 PM,26.52,26.16
87,05/12/07 09:56:00 PM,26.52,26.16
88,05/12/07 09:57:00 PM,26.52,25.98
89,05/12/07 09:58:00 PM,26.52,25.98
90,05/12/07 09:59:00 PM,26.52,25.98
91,05/12/07 10:00:00 PM,26.34,25.98
92,05/12/07 10:01:00 PM,26.34,25.98
93,05/12/07 10:02:00 PM,26.34,25.80
94,05/12/07 10:03:00 PM,26.34,25.80
95,05/12/07 10:04:00 PM,26.34,25.80
96,05/12/07 10:05:00 PM,26.16,25.62
97,05/12/07 10:06:00 PM,26.16,25.62
98,05/12/07 10:07:00 PM,26.16,25.62
99,05/12/07 10:08:00 PM,26.16,25.62
100,05/12/07 10:09:00 PM,26.16,25.80
101,05/12/07 10:10:00 PM,26.16,25.80
102,05/12/07 10:11:00 PM,26.16,25.80
103,05/12/07 10:12:00 PM,26.16,25.80
104,05/12/07 10:13:00 PM,26.16,25.62
105,05/12/07 10:14:00 PM,26.16,25.62
106,05/12/07 10:15:00 PM,26.16,25.62
107,05/12/07 10:16:00 PM,26.16,25.62
108,05/12/07 10:17:00 PM,26.16,25.62
109,05/12/07 10:18:00 PM,26.16,25.62
110,05/12/07 10:19:00 PM,25.98,25.62
111,05/12/07 10:20:00 PM,25.98,25.62
112,05/12/07 10:21:00 PM,25.98,25.44
113,05/12/07 10:22:00 PM,25.98,25.44
114,05/12/07 10:23:00 PM,25.98,25.44
115,05/12/07 10:24:00 PM,25.98,25.44
116,05/12/07 10:25:00 PM,25.80,25.27
117,05/12/07 10:26:00 PM,25.80,25.27
118,05/12/07 10:27:00 PM,25.80,25.27
119,05/12/07 10:28:00 PM,25.80,25.27
120,05/12/07 10:29:00 PM,25.80,25.27
121,05/12/07 10:30:00 PM,25.80,25.27
122,05/12/07 10:31:00 PM,25.80,25.27
123,05/12/07 10:32:00 PM,25.80,25.27
124,05/12/07 10:33:00 PM,25.80,25.27
125,05/12/07 10:34:00 PM,25.80,25.44
126,05/12/07 10:35:00 PM,25.80,25.44
127,05/12/07 10:36:00 PM,25.80,25.44
128,05/12/07 10:37:00 PM,25.80,25.44
129,05/12/07 10:38:00 PM,25.80,25.44
130,05/12/07 10:39:00 PM,25.80,25.44
131,05/12/07 10:40:00 PM,25.80,25.44
132,05/12/07 10:41:00 PM,25.80,25.44
133,05/12/07 10:42:00 PM,25.80,25.44
134,05/12/07 10:43:00 PM,25.80,25.44
135,05/12/07 10:44:00 PM,25.80,25.44
136,05/12/07 10:45:00 PM,25.80,25.44
137,05/12/07 10:46:00 PM,25.80,25.27
138,05/12/07 10:47:00 PM,25.62,25.27
139,05/12/07 10:48:00 PM,25.62,25.27
140,05/12/07 10:49:00 PM,25.62,25.27
141,05/12/07 10:50:00 PM,25.62,25.27
142,05/12/07 10:51:00 PM,25.62,25.27
143,05/12/07 10:52:00 PM,25.62,25.27
144,05/12/07 10:53:00 PM,25.62,25.27
145,05/12/07 10:54:00 PM,25.62,25.09
146,05/12/07 10:55:00 PM,25.44,25.09
147,05/12/07 10:56:00 PM,25.44,25.09
148,05/12/07 10:57:00 PM,25.44,25.09
149,05/12/07 10:58:00 PM,25.44,25.09
150,05/12/07 10:59:00 PM,25.44,25.09
151,05/12/07 11:00:00 PM,25.44,25.09
152,05/12/07 11:01:00 PM,25.44,25.27
153,05/12/07 11:02:00 PM,25.44,25.27
154,05/12/07 11:03:00 PM,25.44,25.27
155,05/12/07 11:04:00 PM,25.44,25.27
156,05/12/07 11:05:00 PM,25.44,25.27
157,05/12/07 11:06:00 PM,25.44,25.27
158,05/12/07 11:07:00 PM,25.44,25.09
159,05/12/07 11:08:00 PM,25.44,25.09
160,05/12/07 11:09:00 PM,25.44,25.09
161,05/12/07 11:10:00 PM,25.44,25.09
162,05/12/07 11:11:00 PM,25.44,25.09
163,05/12/07 11:12:00 PM,25.44,25.09
164,05/12/07 11:13:00 PM,25.44,25.09
165,05/12/07 11:14:00 PM,25.44,25.09
166,05/12/07 11:15:00 PM,25.44,25.09
167,05/12/07 11:16:00 PM,25.44,25.09
168,05/12/07 11:17:00 PM,25.44,25.09
169,05/12/07 11:18:00 PM,25.44,25.27
170,05/12/07 11:19:00 PM,25.44,25.44
171,05/12/07 11:20:00 PM,25.44,25.44
172,05/12/07 11:21:00 PM,25.44,25.44
173,05/12/07 11:22:00 PM,25.44,25.44
174,05/12/07 11:23:00 PM,25.44,25.44
175,05/12/07 11:24:00 PM,25.44,25.44
176,05/12/07 11:25:00 PM,25.44,25.27
177,05/12/07 11:26:00 PM,25.44,25.27
178,05/12/07 11:27:00 PM,25.44,25.27
179,05/12/07 11:28:00 PM,25.44,25.09
180,05/12/07 11:29:00 PM,25.44,25.09
181,05/12/07 11:30:00 PM,25.44,25.09
182,05/12/07 11:31:00 PM,25.27,25.09
183,05/12/07 11:32:00 PM,25.27,25.09
184,05/12/07 11:33:00 PM,25.27,25.09
185,05/12/07 11:34:00 PM,25.27,25.09
186,05/12/07 11:35:00 PM,25.27,25.09
187,05/12/07 11:36:00 PM,25.27,25.09
188,05/12/07 11:37:00 PM,25.27,25.09
189,05/12/07 11:38:00 PM,25.27,25.09
190,05/12/07 11:39:00 PM,25.27,25.09
191,05/12/07 11:40:00 PM,25.27,25.09
192,05/12/07 11:41:00 PM,25.27,25.09
193,05/12/07 11:42:00 PM,25.27,25.09
194,05/12/07 11:43:00 PM,25.27,25.09
195,05/12/07 11:44:00 PM,25.27,25.09
196,05/12/07 11:45:00 PM,25.27,25.09
197,05/12/07 11:46:00 PM,25.27,24.91
198,05/12/07 11:47:00 PM,25.27,24.91
199,05/12/07 11:48:00 PM,25.27,24.91
200,05/12/07 11:49:00 PM,25.27,24.91
201,05/12/07 11:50:00 PM,25.27,24.91
202,05/12/07 11:51:00 PM,25.27,24.91
203,05/12/07 11:52:00 PM,25.09,24.91
204,05/12/07 11:53:00 PM,25.09,24.91
205,05/12/07 11:54:00 PM,25.09,24.91
206,05/12/07 11:55:00 PM,25.09,24.91
207,05/12/07 11:56:00 PM,25.09,24.91
208,05/12/07 11:57:00 PM,25.09,24.91
209,05/12/07 11:58:00 PM,25.09,24.74
210,05/12/07 11:59:00 PM,25.09,24.74
211,05/13/07 12:00:00 AM,25.09,24.74
212,05/13/07 12:01:00 AM,25.09,24.74
213,05/13/07 12:02:00 AM,25.09,24.74
214,05/13/07 12:03:00 AM,25.09,24.74
215,05/13/07 12:04:00 AM,25.09,24.74
216,05/13/07 12:05:00 AM,25.09,24.74
217,05/13/07 12:06:00 AM,25.09,24.74
218,05/13/07 12:07:00 AM,25.09,24.74
219,05/13/07 12:08:00 AM,25.09,24.74
220,05/13/07 12:09:00 AM,25.09,24.74
221,05/13/07 12:10:00 AM,25.09,24.74
222,05/13/07 12:11:00 AM,25.09,24.74
223,05/13/07 12:12:00 AM,24.91,24.74
224,05/13/07 12:13:00 AM,24.91,24.74
225,05/13/07 12:14:00 AM,24.91,24.74
226,05/13/07 12:15:00 AM,24.91,24.56
227,05/13/07 12:16:00 AM,24.91,24.56
228,05/13/07 12:17:00 AM,24.91,24.74
229,05/13/07 12:18:00 AM,24.91,24.74
230,05/13/07 12:19:00 AM,24.91,24.74
231,05/13/07 12:20:00 AM,24.91,24.74
232,05/13/07 12:21:00 AM,24.91,24.74
233,05/13/07 12:22:00 AM,24.91,24.56
234,05/13/07 12:23:00 AM,24.91,24.56
235,05/13/07 12:24:00 AM,24.91,24.56
236,05/13/07 12:25:00 AM,24.91,24.56
237,05/13/07 12:26:00 AM,24.91,24.56
238,05/13/07 12:27:00 AM,24.91,24.38
239,05/13/07 12:28:00 AM,24.91,24.38
240,05/13/07 12:29:00 AM,24.91,24.38
241,05/13/07 12:30:00 AM,24.91,24.38
242,05/13/07 12:31:00 AM,24.91,24.38
243,05/13/07 12:32:00 AM,24.91,24.21
244,05/13/07 12:33:00 AM,24.74,24.21
245,05/13/07 12:34:00 AM,24.74,24.21
246,05/13/07 12:35:00 AM,24.74,24.21
247,05/13/07 12:36:00 AM,24.74,24.21
248,05/13/07 12:37:00 AM,24.74,24.21
249,05/13/07 12:38:00 AM,24.74,24.03
250,05/13/07 12:39:00 AM,24.74,24.03
251,05/13/07 12:40:00 AM,24.56,24.03
252,05/13/07 12:41:00 AM,24.56,24.03
253,05/13/07 12:42:00 AM,24.56,24.03
254,05/13/07 12:43:00 AM,24.56,24.03
255,05/13/07 12:44:00 AM,24.56,24.03
256,05/13/07 12:45:00 AM,24.56,24.03
257,05/13/07 12:46:00 AM,24.56,24.03
258,05/13/07 12:47:00 AM,24.38,23.86
259,05/13/07 12:48:00 AM,24.38,23.86
260,05/13/07 12:49:00 AM,24.38,23.86
261,05/13/07 12:50:00 AM,24.38,23.86
262,05/13/07 12:51:00 AM,24.38,23.86
263,05/13/07 12:52:00 AM,24.38,23.68
264,05/13/07 12:53:00 AM,24.21,23.68
265,05/13/07 12:54:00 AM,24.21,23.68
266,05/13/07 12:55:00 AM,24.21,23.68
267,05/13/07 12:56:00 AM,24.21,23.68
268,05/13/07 12:57:00 AM,24.21,23.68
269,05/13/07 12:58:00 AM,24.21,23.68
270,05/13/07 12:59:00 AM,24.21,23.68
271,05/13/07 01:00:00 AM,24.21,23.68
272,05/13/07 01:01:00 AM,24.21,23.68
273,05/13/07 01:02:00 AM,24.03,23.68
274,05/13/07 01:03:00 AM,24.03,23.68
275,05/13/07 01:04:00 AM,24.03,23.68
276,05/13/07 01:05:00 AM,24.21,23.68
277,05/13/07 01:06:00 AM,24.21,23.68
278,05/13/07 01:07:00 AM,24.21,23.68
279,05/13/07 01:08:00 AM,24.21,23.68
280,05/13/07 01:09:00 AM,24.21,23.68
281,05/13/07 01:10:00 AM,24.03,23.68
282,05/13/07 01:11:00 AM,24.03,23.68
283,05/13/07 01:12:00 AM,24.03,23.68
284,05/13/07 01:13:00 AM,24.03,23.68
285,05/13/07 01:14:00 AM,24.03,23.68
286,05/13/07 01:15:00 AM,24.03,23.68
287,05/13/07 01:16:00 AM,24.03,23.68
288,05/13/07 01:17:00 AM,24.03,23.68
289,05/13/07 01:18:00 AM,24.03,23.68
290,05/13/07 01:19:00 AM,24.03,23.68
