Temp @ 60cm (C)_avg,Day_of_Year,log_pred,pred_minutes
-1.6399999999999864,113.0,2.0031428831737252,7.412315570769161
-1.4451758793969713,113.0,2.0039125380927207,7.418022691884544
-1.2503517587939563,113.0,2.0046821930117162,7.42373420720456
-1.0555276381909413,113.0,2.005451847930712,7.429450120112536
-0.8607035175879263,113.0,2.0062215028497077,7.435170433994393
-0.6658793969849113,113.0,2.006991157768703,7.440895152238669
-0.47105527638189626,113.0,2.007760812687699,7.446624278236513
-0.27623115577888124,113.0,2.0085304676066946,7.452357815381672
-0.08140703517586623,113.0,2.0093001225256906,7.458095767070521
0.11341708542714879,113.0,2.010069777444686,7.463838136702036
0.3082412060301638,113.0,2.0108394323636816,7.469584927677822
0.5030653266331786,113.0,2.0116090872826775,7.4753361434020995
0.6978894472361938,113.0,2.012378742201673,7.481091787281704
0.8927135678392091,113.0,2.013148397120669,7.4868518627261045
1.0875376884422239,113.0,2.0139180520396645,7.492616373147383
1.2823618090452387,113.0,2.01468770695866,7.498385321960259
1.477185929648254,113.0,2.015457361877656,7.504158712582081
1.6720100502512691,113.0,2.0162270167966514,7.509936548432817
1.866834170854284,113.0,2.016996671715647,7.515718832935081
2.0616582914572987,113.0,2.017766326634643,7.521505569514119
2.256482412060314,113.0,2.0185359815536383,7.527296761597808
2.451306532663329,113.0,2.0193056364726343,7.533092412616675
2.6461306532663436,113.0,2.02007529139163,7.538892526003876
2.840954773869359,113.0,2.0208449463106253,7.544697105195219
3.035778894472374,113.0,2.021614601229621,7.5505061536291596
3.2306030150753893,113.0,2.0223842561486167,7.556319674746789
3.4254271356784045,113.0,2.023153911067612,7.56213767199186
3.620251256281419,113.0,2.023923565986608,7.567960148810775
3.815075376884434,113.0,2.0246932209056037,7.573787108652579
4.009899497487449,113.0,2.0254628758245996,7.579618554968988
4.204723618090464,113.0,2.026232530743595,7.585454491214364
4.399547738693479,113.0,2.0270021856625906,7.591294920845733
4.594371859296494,113.0,2.0277718405815865,7.597139847322789
4.789195979899509,113.0,2.028541495500582,7.602989274107875
4.984020100502525,113.0,2.029311150419578,7.608843204666017
5.178844221105539,113.0,2.0300808053385735,7.614701642464892
5.373668341708554,113.0,2.030850460257569,7.620564590974859
5.5684924623115695,113.0,2.031620115176565,7.6264320536689505
5.763316582914584,113.0,2.0323897700955604,7.632304034022859
5.958140703517599,113.0,2.033159425014556,7.638180535514965
6.152964824120614,113.0,2.033929079933552,7.64406156162633
6.3477889447236295,113.0,2.0346987348525474,7.649947115840681
6.542613065326645,113.0,2.0354683897715433,7.655837201644444
6.737437185929659,113.0,2.036238044690539,7.661731822526715
6.9322613065326735,113.0,2.0370076996095343,7.667630981979286
